% Bio-oil collection node,
BO01,
BO02,
BO03,
BO04,
BO05,
BO06,
BO07,
BO08,
BO09,
BO10,
BO11,
BO12,
BO13,
% Coal/ Biomass feedstock production nodes,
CPAL,
CPAZ,
CPAR,
CPCA,
CPCO,
CPCT,
CPDE,
CPFL,
CPGA,
CPID,
CPIL,
CPIN,
CPIA,
CPKS,
CPKY,
CPLA,
CPME,
CPMD,
CPMA,
CPMI,
CPMN,
CPMS,
CPMO,
CPMT,
CPNE,
CPNV,
CPNH,
CPNJ,
CPNM,
CPNY,
CPNC,
CPND,
CPOH,
CPOK,
CPOR,
CPPA,
CPRI,
CPSC,
CPSD,
CPTN,
CPTX,
CPUT,
CPVT,
CPVA,
CPWA,
CPWV,
CPWI,
CPWY,
