from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
NPVA,NTVA,,0.003696973,0.003993154,0.004384535,0.004728317,0.005188455,0.005722638,0.00561686,0.004400402,0.003845063,0.003363769,0.0031575,0.003104611
NPWV,NTWV,,0.003696973,0.003993154,0.004384535,0.004728317,0.005188455,0.005722638,0.00561686,0.004400402,0.003845063,0.003363769,0.0031575,0.003104611
% NS,NT,0.0005 % Withdrawals from storage,,,,,,,,,,,,
NT,NT,0.00000002,,,,,,,,,,,,
% Electric generation,,,,,,,,,,,,,,
EN,EL,0.006483703,,,,,,,,,,,,
EC,EL,0.009084936,,,,,,,,,,,,
ED,EL,0.006667276,,,,,,,,,,,,
EG,EL,0.004595852,,,,,,,,,,,,
ET,EL,0.010618755,,,,,,,,,,,,
EH,EL,0.004277466,,,,,,,,,,,,
EW,EL,0.01136226,,,,,,,,,,,,
EY,EL,0.015555773,,,,,,,,,,,,
EO,EL,0.005283873,,,,,,,,,,,,
EP,EL,0.028662111,,,,,,,,,,,,
EV,EL,0.003754403,,,,,,,,,,,,
EU,EL,0.019215199,,,,,,,,,,,,
E1,EL,0.021788099,,,,,,,,,,,,
E3,EL,0,,,,,,,,,,,,
E2,EL,0.012427919,,,,,,,,,,,,
% Nuclear fuel (million $ / GWh),,,,,,,,,,,,,,
XN,EN,0.002559,,,,,,,,,,,,
% Oil generation fuel (million $ / GWh),,,,,,,,,,,,,,
XO,EO,3,,,,,,,,,,,,
